name,year,desc,image,lat,lon
Eastpost Spire,,,eastpost_spire.jpg,50.74667,-116.7627
Bugaboo Spire,,,bugaboo_spire.jpg,50.7455,-116.7891
Goode Mountain,,,goode.jpg,48.48,-120.91
Angels Crest,,,angels_crest.jpg,49.6867,-123.135
Hermaphrodite to Boltway,,,hermaphrodite-min.jpg,37.8353,-119.46
Bourbon Street,,,bourbon_street.jpg,36.03487,-115.46322
Recompense,,,cathedral.jpg,44.06298,-71.1656
Mt Conness,,,conness_west.jpg,37.9672,-119.3192
Dream of Wild Turkeys,,,dreamofturkeys.jpg,36.03518,-115.46652
Fishhook Arete,,,fishhook.jpg,36.589095,-118.290555
Frigid Air Buttress,,,frigid_air_buttress.jpg,36.14396,-115.49249
Frogland,,,frogland.jpg,36.02487,-115.46322
Ginger Cracks,,,ginger.jpg,36.11213,-115.48829
Great Arch,,,great_arch.jpg,36.3916,-81.0473
Infinite Bliss,,,infinite_bliss.jpg,47.552464,-121.510376
Infinite Bliss,,,infinite_bliss2.jpg,47.549,-121.5137
Matthes Crest,,,matthes7.jpg,37.8186,-119.3992
Medlicott Dome,,,medlicott.jpg,37.86303,-119.4331
The Ogre,,,ogre.jpg,41.17689,-122.33692
Outer Space,,,outer_space.jpg,47.52963,-120.71869
Burgundy Dome,,,pinnacles.jpg,36.4895,-121.1979
Mt Sir Donald,,,sir_donald.jpg,51.26301,-117.43131
Snake Dike,,,snake.jpg,37.741359,-119.53771
Transylvania - Monte Casale,,,transylvania.jpg,46.032358,10.932489
Tunnel Vision,,,tunnelvision.jpg,36.16894,-115.48726
East Butt - Mt Whitney,,,whitney_butt.jpg,36.57844,-118.29229
East Face - Mt Whitney,,,whitney_face.jpg,36.57794,-118.29229
Pigeon Spire - Bugaboos,,,pigeon_spire.jpg,50.729703,-116.795119
High Exposure - Gunks,,,gunks.jpg,41.74421,-74.179
Black Orpheus - Red Rock,,,black_orpheus.jpg,36.10256,-115.49045
Fairview Dome,,,fairview_dome.jpg,37.8717,-119.4047
Mental Physics - Lenticular Dome,,,mental_physics.jpg,34.04228,-116.14889
Easton Glacier - Mt Baker,,,baker.jpg,48.77372173,-121.819976
Kautz Glacier - Rainier,,,rainier.jpg,46.8528,-121.759
East Butt - Middle Cathedral,,,middlecathedral.jpg,37.7165,-119.6363
Southwest Face - Liberty Cap,,,libertycap-min.jpg,37.72751,-119.53364
Regular NW - Half Dome,,,reg_nw.jpg,37.746198,-119.53347
Italian Route - Mont Blanc,,,mont_blanc.jpg,45.8327,6.8643
Big Ben - Halong Bay,,,big_ben.jpg,20.76825,107.08773
East Arete - Carl Heller,,,carl_heller.jpg,36.61118,-118.30178
Craven Image,,,craven_image-min.jpg,38.798224,-120.136104
Death Valley,,,sand_fever.jpg,36.459037,-117.456471
Joshua Tree,,,jtree1.jpg,34.042166,-116.148418
Zion - Smith Rock,,,zebra_zion.jpg,44.367097,-121.143818
Robbers Roost,,,roost_canyon.jpg,38.32044,-110.535297
Sarche - Italy,,,italy_ice.jpg,46.046758,10.953693
Cave Route - Mt Diablo,,,caveroute.JPG,37.880573,-121.985575
Pagoda Rock - Mt Diablo,,,pagoda.JPG,37.880497,-121.985829
Upper Crust - Pinnacles,,,pinnacles_friends.jpg,36.472732,-121.185746
East Buttress - Middle Cathedral,,,east_butt2.jpg,37.717282,-119.634327
Super Slide,,,super_slide.jpg,37.749255,-119.572375
Commitment,,,commitment-min.jpg,37.748979,-119.598181
Breakfast of Champions - S. Astrodome,,,breakfast.jpg,34.038405,-116.147477
Cuidado - Pinnacles,,,cuidado-min.jpg,36.499184,-121.201881
Feather Canyon - Pinnacles,,,feather_canyon.jpg,36.488096,-121.196867
Thimble Peak - Death Valley,,,thimble.jpg,36.812155,-117.040793
Eureka Sand Dunes - Death Valley,,,eureka_dunes.jpg,37.095761,-117.67544
Liberty Bell,,,liberty_bell.jpg,48.515813,-120.657733
Royal Arches - Yosemite,,,royal_arches.jpg,37.749014,-119.570051
Dark Shadows - Mescalito,,,dark_shadows_2018-min.jpg,36.123416,-115.4956
Armatron - Brownstone Wall,,,armatron-min.jpg,36.116024,-115.494271
Somewhere in the Gunks,,,gunks_allison.jpg,41.745526,-74.1785
Crimson Chrysalis - Red Rock,,,crimson_chrysalis.jpg,36.112192,-115.489776
Levitation 29 - Red Rock,,,levitation_29.jpg,36.105135,-115.493912
Devil's Lake,,,josh_devils_lake.jpg,43.414259,-89.716912
Summit of Stone Mountain,,,stone_mountain_1.jpg,36.393139,-81.044451
Higher Cathedral Spire,,,higher_cathedral_spire-min.jpg,37.713805,-119.632626
Grand Funk Railroad - Stone Mountain,,,stone_mountain_2.jpg,36.391893,-81.042598
Cordier Pillar - Grands Charmoz,,,cordier.jpg,45.905062,6.918085
Corrugation Corner - Lover's Leap,,,corrugation_corey-min.jpg,38.800136,-120.1342
Davis Holland to Lovin' Arms - Index,,,dhla-min.jpg,47.82393,-121.56606
North Ridge - Mt Stuart,,,stuart_summit-min.jpg,47.475042,-120.902384
Cascadian Couloir (descent) - Mt Stuart,,,stuart_north-min.jpg,47.472286,-120.899479
Tenaya Peak - Tuolumne,,,tenaya_daniel.jpg,37.829103,-119.442727
My favorite things - Cloud's rest,,,clouds_rest.jpg,37.768287,-119.489027
Craven Image x2,,,craven_allison.JPG,38.799146,-120.135116
Bear's Reach,,,bears_reach.JPG,38.802651,-120.131398
On the Lamb,,,on_the_lamb.jpg,37.869726,-119.424504
Cathedral again!,,,cathedral_dan.jpg,37.847852,-119.405913
Thimble Peak - Death Valley,,,dv_newyears.jpg,36.812148,-117.040358
New Years 2017,,,pnw_newyears.jpg,47.158393,-121.660045
Climbing in Italy,,,italy1.jpg,46.049916,10.947647
Climbing in Italy,,,italy2.jpg,46.009172,10.927392
Commuinty Pillar - Spring break 2019,,,community_pillar.jpg,36.120865,-115.4898
Diet Delight - Spring break 2019,,,diet_delight.jpg,36.017058,-115.463072
Tunnel Vision - Spring break 2019,,,tunnel_vision_19.jpg,36.168451,-115.490064
Gift of the Wind Gods - Spring break 2019,,,wilson.jpg,36.093482,-115.48493
High E - Bachelorx Party,,,gunks_highe_bachelorx.jpg,41.746041,-74.17772
Bachelorx Party,,,gunks_house_bachelorx.jpg,41.671353,-74.303168
Cathedral with Matt and Binji,,,cathedral_mattbinji.jpg,37.847869,-119.405495
Crosstown Trail,,,crosstown.jpg,37.756383,-122.47175
The Lions - Vancouver,,,the_lions.jpg,49.457765,-123.186395
Jolly Mountain,,,jolly.jpg,47.402756,-121.013561
Mt Si,,,mt_si_spring20.jpg,47.506961,-121.738757
West Ridge Prusik Peak,,,prusik.jpg,47.487479,-120.784608
Skyline Lake,,,newyears_2021.jpg,47.75717876,-121.0987793
Glines Canyon Dam,,,glines_canyon.jpg,48.00271981,-123.6002301
Mt St Helens,,,mt_st_helens.jpg,46.18995644,-122.1899214
Lane Peak,,,lane.jpg,46.7581806,-121.7516364
Coleman-Demming - Mt Baker,,,baker2021.jpg,48.77664217,-121.8146408
Steinmetz Lab - Lake Serene,,,lake_serene.jpg,47.78411381,-121.5721865
Mt Erie,,,mterie.jpg,48.45362885,-122.6250318
Epic Tail of Sir Norbert,,,epictail.jpg,48.19727342,-121.6499166
Lassen Peak,,,lassen.jpg,40.48818689,-121.5050267
Mt St Helens,,,mt_st_helens22.jpg,46.19139597,-122.1955618
There and Back Again,,,there_and_back_again.jpg,36.10382325,-115.4919288
Tunnel Vision,,,tunnel_vision_2022.jpg,36.16852447,-115.4903268
Stiffler's,,,stifflers.jpg,40.56771175,-111.7367145
New Year's 2022,,,newyears_summit.jpg,47.7367673,-120.9034096
Low to High - Whitney,,,l2h_whitney.jpg,36.57869182,-118.2920832
Guye Peak,,,guye.jpg,47.44143526,-121.4092895
Somewhere in the Alps,,,IMG_1335.jpg,46.04812734,6.997501384
Slabbing in the Alps,,,IMG_1334.jpg,45.98825564,6.913413817
Low to High - Telescope Peak,,,l2h_telescope.jpg,36.16974001,-117.0893512
Mt Hood Ski,,,mt_hood.jpg,45.37195255,-121.6975654
Sensuous Mortician,,,sensuous.jpg,36.14378497,-115.4905397
Waterboys,,,waterboys.jpg,36.14200039,-115.491335
M'laiksini Yaina (Mt Mcloughlin),,,mcloughlin.jpg,42.44466226,-122.3153028
Mt Shasta,,,shasta.jpg,41.4089596,-122.1948392
Mt Bachelor,,,bachelor.jpg,43.9796271,-121.6888784
Youxlokes (Mt Bailey),,,bailey.jpg,43.15509123,-122.2200363
Boulder Glacier - Koma Kulshan,,,baker22.jpg,48.77506628,-121.8120698
Hanakapi'ai Falls,,,kauai_falls.jpg,22.18577831,-159.5948756
Waimea Canyon,,,kauai_waimea.jpg,22.07191389,-159.6615789
Camp Muir Outing,,,rainier_muir_23.jpg,46.81380239,-121.7231412
Slot Couloir,,,slot_couloir.jpg,47.45890607,-121.4173651
Excalibur,,,excalibur.jpg,48.19653993,-121.6499974
Sherman Peak,2023,"Koma Kulshan, SE Peak with Shay",baker_2023.png,48.76744297,-121.8140278
Southwest Chutes,2023,Pahto,23_adams.png,46.19216835,-121.4901074
Mt Adams,2023,Pahto,23_adams2.png,46.20213246,-121.4910492
Mt Helens,2023,Loowit,23_helens.png,46.20093225,-122.2023102
Mt Helens,2023,Loowit,23_helens2.png,46.19478531,-122.1777044
Camp Muir,2023,In a whiteout,23_muir.png,46.82219552,-121.7260511
Emmons,2025,Tahoma,25_emmons.png,46.86241951,-121.7395048
Pointe de Pordic,2025,,IMG_3875.png,48.58377275,-2.780200779
Pointe de Minard,2025,,minard.png,48.75420562,-2.930937816
 ,,,,,